Program,Workout Name,Exercise Name,Equipment,Sets,Reps or Duration,Movement Pattern,Verified,Notes
Strength Endurance,Sandbag Saturday,Sandbag Goblet Squats,Household Items,3,AMRAP,Legs,,
Strength Endurance,Sandbag Saturday,Sandbag Russian Twist,Household Items,3,AMRAP,Core,,
Strength Endurance,Toddler Tornado,Kid Overhead Press,Household Items,3,AMRAP,Push,,
Strength Endurance,Toddler Tornado,Kid-on-Back Rows,Household Items,3,AMRAP,Pull,,
Strength Endurance,Toddler Tornado,Kid Squat & Toss,Household Items,3,AMRAP,Legs,,
Strength Endurance,Toddler Tornado,Sandbag Sit-Up,Household Items,3,AMRAP,Core,,
Strength Endurance,Bucket Brigade,Bucket Floor Press,Household Items,3,AMRAP,Push,,
Strength Endurance,Bucket Brigade,Bucket Rows,Household Items,3,AMRAP,Pull,,
Strength Endurance,Bucket Brigade,Bucket Farmer Carry Lunges,Household Items,3,AMRAP,Legs,,
Strength Endurance,Bucket Brigade,Sandbag Russian Twist,Household Items,3,AMRAP,Core,,
Strength Endurance,The Furniture Workout,Chair Dips,Household Items,3,AMRAP,Push,,
Strength Endurance,The Furniture Workout,Towel Rows,Household Items,3,AMRAP,Pull,,
Strength Endurance,The Furniture Workout,Wall Sit,Household Items,3,Max hold (timed),Legs,,
Strength Endurance,The Furniture Workout,Sandbag Sit-Up,Household Items,3,AMRAP,Core,,
Strength Endurance,Dust Off the Bell,Kettlebell Push Press,Kettlebell,3,AMRAP,Push,,
Strength Endurance,Dust Off the Bell,Kettlebell Single-Arm Row,Kettlebell,3,AMRAP,Pull,,
Strength Endurance,Dust Off the Bell,Kettlebell Goblet Squats,Kettlebell,3,AMRAP,Legs,,
Strength Endurance,Dust Off the Bell,KB Turkish Get-Up (half),Kettlebell,3,3-5 per arm,Core,,
Strength Endurance,Bell Ringer,Kettlebell Floor Press,Kettlebell,3,AMRAP,Push,,
Strength Endurance,Bell Ringer,Kettlebell High Pull,Kettlebell,3,AMRAP,Pull,,
Strength Endurance,Bell Ringer,Kettlebell Reverse Lunges,Kettlebell,3,AMRAP,Legs,,
Strength Endurance,Bell Ringer,KB Windmill,Kettlebell,3,5-8 per side,Core,,
Strength Endurance,Swing Shift,Kettlebell Overhead Press,Kettlebell,3,AMRAP,Push,,
Strength Endurance,Swing Shift,Kettlebell Swing,Kettlebell,3,AMRAP,Pull,,
Strength Endurance,Swing Shift,Kettlebell Sumo Squat,Kettlebell,3,AMRAP,Legs,,
Strength Endurance,Swing Shift,KB Turkish Get-Up (half),Kettlebell,3,3-5 per arm,Core,,
Strength Endurance,Kettlebell Essentials,Kettlebell Overhead Press,Kettlebell,3,AMRAP,Push,,
Strength Endurance,Kettlebell Essentials,Kettlebell Swing,Kettlebell,3,AMRAP,Pull,,
Strength Endurance,Kettlebell Essentials,Kettlebell Goblet Squat,Kettlebell,3,AMRAP,Legs,,
Strength Endurance,Kettlebell Essentials,KB Turkish Get-Up (half),Kettlebell,3,3-5 per arm,Core,,
Strength Endurance,Dumbbell Dad Circuit,Dumbbell Push-Up to Row,Dumbbell,3,AMRAP,Push,,
Strength Endurance,Dumbbell Dad Circuit,Dumbbell Bent-Over Row,Dumbbell,3,AMRAP,Pull,,
Strength Endurance,Dumbbell Dad Circuit,Dumbbell Step-Ups,Dumbbell,3,AMRAP,Legs,,
Strength Endurance,Dumbbell Dad Circuit,Dumbbell Farmer's Carry,Dumbbell,3,30-40 yd / 30 sec,Core,,
Strength Endurance,The Quick Fifteen,Dumbbell Shoulder Press,Dumbbell,3,AMRAP,Push,,
Strength Endurance,The Quick Fifteen,Dumbbell Reverse Fly,Dumbbell,3,AMRAP,Pull,,
Strength Endurance,The Quick Fifteen,Dumbbell Goblet Squat,Dumbbell,3,AMRAP,Legs,,
Strength Endurance,The Quick Fifteen,Dumbbell Renegade Row Plank,Dumbbell,3,30-60 sec hold,Core,,
Strength Endurance,Dumbbell Grinder,Dumbbell Floor Fly,Dumbbell,3,AMRAP,Push,,
Strength Endurance,Dumbbell Grinder,Dumbbell Upright Row,Dumbbell,3,AMRAP,Pull,,
Strength Endurance,Dumbbell Grinder,Dumbbell Sumo Squat,Dumbbell,3,AMRAP,Legs,,
Strength Endurance,Dumbbell Grinder,Dumbbell Farmer's Carry,Dumbbell,3,30-40 yd / 30 sec,Core,,
Strength Endurance,Gym Made Simple,Cable Chest Flyes,Full Gym,3,AMRAP,Push,,
Strength Endurance,Gym Made Simple,Lat Pulldown,Full Gym,3,AMRAP,Pull,,
Strength Endurance,Gym Made Simple,Leg Press,Full Gym,3,AMRAP,Legs,,
Strength Endurance,Gym Made Simple,Cable Pallof Press,Full Gym,3,8-10 per side,Core,,
Strength Endurance,The Sled Dog,Sled Push,Full Gym,3,30-40 yd / 30 sec,Push,,
Strength Endurance,The Sled Dog,Sled Pull (rope),Full Gym,3,1 trip per set,Pull,,
Strength Endurance,The Sled Dog,Landmine Squat,Full Gym,3,AMRAP,Legs,,
Strength Endurance,The Sled Dog,Hanging Knee Raise,Full Gym,3,AMRAP,Core,,
Strength Endurance,Cable Cruiser,Cable Press (low to high),Full Gym,3,AMRAP,Push,,
Strength Endurance,Cable Cruiser,Cable Face Pull,Full Gym,3,AMRAP,Pull,,
Strength Endurance,Cable Cruiser,Cable Pull-Through,Full Gym,3,AMRAP,Legs,,
Strength Endurance,Cable Cruiser,Cable Pallof Press,Full Gym,3,8-10 per side,Core,,
Strength Endurance,Machine Day,Chest Press Machine,Full Gym,3,AMRAP,Push,,
Strength Endurance,Machine Day,Seated Row Machine,Full Gym,3,AMRAP,Pull,,
Strength Endurance,Machine Day,Leg Extension Machine,Full Gym,3,AMRAP,Legs,,
Strength Endurance,Machine Day,Hanging Knee Raise,Full Gym,3,AMRAP,Core,,
Strength Endurance,The Starter Pack,Chest Press Machine,Full Gym,3,AMRAP,Push,,
Strength Endurance,The Starter Pack,Lat Pulldown,Full Gym,3,AMRAP,Pull,,
Strength Endurance,The Starter Pack,Leg Press,Full Gym,3,AMRAP,Legs,,
Strength Endurance,The Starter Pack,Cable Pallof Press,Full Gym,3,8-10 per side,Core,,
Strength Hypertrophy,Slow & Steady,Tempo Push-Ups (3 sec down),Bodyweight,4,AMRAP,Push,,
Strength Hypertrophy,Slow & Steady,Tempo Inverted Rows (3 sec up),Bodyweight,4,AMRAP,Pull,,
Strength Hypertrophy,Slow & Steady,Pistol Squat Progressions,Bodyweight,4,AMRAP,Legs,,
Strength Hypertrophy,Slow & Steady,Mountain Climbers (slow),Bodyweight,4,AMRAP,Core,,
Strength Hypertrophy,Gravity Is Enough,Archer Push-Ups,Bodyweight,4,6-10 reps,Push,,
Strength Hypertrophy,Gravity Is Enough,Backpack Rows,Bodyweight,4,6-10 reps,Pull,,
Strength Hypertrophy,Gravity Is Enough,Skater Squats,Bodyweight,4,6-10 per leg,Legs,,
Strength Hypertrophy,Gravity Is Enough,Plank Hold,Bodyweight,4,Max hold (timed),Core,,
Strength Hypertrophy,Garage Gains,Heavy Sandbag Press,Household Items,4,6-10 reps,Push,,
Strength Hypertrophy,Garage Gains,Heavy Sandbag Row,Household Items,4,6-10 reps,Pull,,
Strength Hypertrophy,Garage Gains,Sandbag Zercher Squats,Household Items,4,6-10 reps,Legs,,
Strength Hypertrophy,Garage Gains,Bucket Carry Plank,Household Items,4,AMRAP,Core,,
Strength Hypertrophy,Heavy Carry Day,Sandbag Bear Hug Press,Household Items,4,6-10 reps,Push,,
Strength Hypertrophy,Heavy Carry Day,Sandbag Over-Shoulder Toss,Household Items,4,6-10 total,Pull,,
Strength Hypertrophy,Heavy Carry Day,Sandbag Front-Loaded Carry Squats,Household Items,4,6-10 reps,Legs,,
Strength Hypertrophy,Heavy Carry Day,Bucket Carry Plank,Household Items,4,AMRAP,Core,,
Strength Hypertrophy,Heavy Bells,Double KB Clean & Press,Kettlebell,4,6-10 reps,Push,,
Strength Hypertrophy,Heavy Bells,KB Gorilla Row,Kettlebell,4,6-10 per arm,Pull,,
Strength Hypertrophy,Heavy Bells,KB Front Squat,Kettlebell,4,6-10 reps,Legs,,
Strength Hypertrophy,Heavy Bells,KB Halo,Kettlebell,4,8-10 each direction,Core,,
Strength Hypertrophy,The Turkish Get-Up Day,KB Bottoms-Up Press,Kettlebell,4,6-10 per arm,Push,,
Strength Hypertrophy,The Turkish Get-Up Day,KB Renegade Row,Kettlebell,4,6-10 per arm,Pull,,
Strength Hypertrophy,The Turkish Get-Up Day,KB Goblet Box Squat,Kettlebell,4,6-10 reps,Legs,,
Strength Hypertrophy,The Turkish Get-Up Day,KB Windmill,Kettlebell,4,5-8 per side,Core,,
Strength Hypertrophy,The Classic,Dumbbell Bench Press (floor),Dumbbell,4,6-10 reps,Push,,
Strength Hypertrophy,The Classic,Dumbbell Row,Dumbbell,4,6-10 per arm,Pull,,
Strength Hypertrophy,The Classic,Dumbbell Bulgarian Split Squat,Dumbbell,4,6-10 per leg,Legs,,
Strength Hypertrophy,The Classic,Dumbbell Woodchop,Dumbbell,4,8-10 per side,Core,,
Strength Hypertrophy,Upper Body Builder,Dumbbell Overhead Press,Dumbbell,4,6-10 reps,Push,,
Strength Hypertrophy,Upper Body Builder,Dumbbell Reverse Fly,Dumbbell,4,8-12 reps,Pull,,
Strength Hypertrophy,Upper Body Builder,Dumbbell Romanian Deadlift,Dumbbell,4,6-10 reps,Legs,,
Strength Hypertrophy,Upper Body Builder,Dumbbell Suitcase Carry,Dumbbell,4,30-40 yd per side,Core,,
Strength Hypertrophy,Basement Builder,Dumbbell Incline Press (floor),Dumbbell,4,6-10 reps,Push,,
Strength Hypertrophy,Basement Builder,Dumbbell Pullover,Dumbbell,4,6-10 reps,Pull,,
Strength Hypertrophy,Basement Builder,Dumbbell Goblet Squat (heavy),Dumbbell,4,6-10 reps,Legs,,
Strength Hypertrophy,Basement Builder,Dumbbell Woodchop,Dumbbell,4,8-10 per side,Core,,
Strength Hypertrophy,The Slow Burner,Dumbbell Squeeze Press,Dumbbell,4,6-10 reps,Push,,
Strength Hypertrophy,The Slow Burner,Dumbbell Seal Row,Dumbbell,4,6-10 reps,Pull,,
Strength Hypertrophy,The Slow Burner,Dumbbell Walking Lunge (heavy),Dumbbell,4,6-10 per leg,Legs,,
Strength Hypertrophy,The Slow Burner,Dumbbell Suitcase Carry,Dumbbell,4,30-40 yd per side,Core,,
Strength Hypertrophy,The No-Nonsense Six,Dumbbell Bench Press,Dumbbell,4,6-10 reps,Push,,
Strength Hypertrophy,The No-Nonsense Six,Dumbbell Row,Dumbbell,4,6-10 per arm,Pull,,
Strength Hypertrophy,The No-Nonsense Six,Dumbbell Goblet Squat,Dumbbell,4,6-10 reps,Legs,,
Strength Hypertrophy,The No-Nonsense Six,Dumbbell Farmer's Carry,Dumbbell,4,30-40 yd,Core,,
Strength Hypertrophy,Iron Therapy,Barbell Bench Press,Full Gym,4,6-10 reps,Push,,
Strength Hypertrophy,Iron Therapy,Barbell Bent-Over Row,Full Gym,4,6-10 reps,Pull,,
Strength Hypertrophy,Iron Therapy,Barbell Back Squat,Full Gym,4,6-10 reps,Legs,,
Strength Hypertrophy,Iron Therapy,Ab Wheel Rollout,Full Gym,4,6-10 reps,Core,,
Strength Hypertrophy,Landmine & Barbell,Landmine Press,Full Gym,4,6-10 per arm,Push,,
Strength Hypertrophy,Landmine & Barbell,Landmine Row,Full Gym,4,6-10 reps,Pull,,
Strength Hypertrophy,Landmine & Barbell,Barbell Front Squat,Full Gym,4,6-10 reps,Legs,,
Strength Hypertrophy,Landmine & Barbell,Cable Woodchop,Full Gym,4,8-10 per side,Core,,
Strength Hypertrophy,Power Hour,Overhead Press (barbell),Full Gym,4,6-10 reps,Push,,
Strength Hypertrophy,Power Hour,Pull-Ups (assisted if needed),Full Gym,4,6-10 reps,Pull,,
Strength Hypertrophy,Power Hour,Barbell Romanian Deadlift,Full Gym,4,6-10 reps,Legs,,
Strength Hypertrophy,Power Hour,Ab Wheel Rollout,Full Gym,4,6-10 reps,Core,,
Strength Hypertrophy,Sled & Iron,Heavy Sled Push,Full Gym,4,20-30 yd,Push,,
Strength Hypertrophy,Sled & Iron,Barbell Pendlay Row,Full Gym,4,6-10 reps,Pull,,
Strength Hypertrophy,Sled & Iron,Barbell Hack Squat,Full Gym,4,6-10 reps,Legs,,
Strength Hypertrophy,Sled & Iron,Cable Woodchop,Full Gym,4,8-10 per side,Core,,
Strength Hypertrophy,The Big Three,Barbell Bench Press,Full Gym,4,6-10 reps,Push,,
Strength Hypertrophy,The Big Three,Barbell Row,Full Gym,4,6-10 reps,Pull,,
Strength Hypertrophy,The Big Three,Barbell Back Squat,Full Gym,4,6-10 reps,Legs,,
Strength Hypertrophy,The Big Three,Hanging Knee Raise,Full Gym,4,AMRAP,Core,,
Cardio L2,The Long Walk,Brisk Walk or Easy Jog,Bodyweight,1,45-60 min,Cardio,,
Cardio L2,Trail Day,Trail Run/Hike,Bodyweight,1,45-90 min,Cardio,,
Cardio L2,Saddle Up,Steady Cycling,Bodyweight,1,45-60 min,Cardio,,
Cardio L2,Neighborhood Patrol,Power Walk,Bodyweight,1,45-60 min,Cardio,,
Cardio L2,The Family Walk,Family Walk,Bodyweight,1,45-60 min,Cardio,,
Cardio L2,Swim Day,Steady Swimming,Bodyweight,1,30-45 min,Cardio,,
Cardio L2,Row Steady,Steady State Rowing,Full Gym,1,30-45 min,Cardio,,
Cardio VO2 Max,Hill Repeats,Hill Sprints,Bodyweight,1,6-12 repeats,Cardio,,
Cardio VO2 Max,The Interval Mile,Running Intervals,Bodyweight,1,8-10 rounds,Cardio,,
Cardio VO2 Max,Burpee Blitz,Burpee Intervals,Bodyweight,1,10-15 rounds,Cardio,,
Cardio VO2 Max,The Bike Sprint,Cycling Intervals,Bodyweight,1,8-12 rounds,Cardio,,
Cardio VO2 Max,Stair Climber,Stair Sprints,Bodyweight,1,8-12 repeats,Cardio,,
Cardio VO2 Max,Jump Rope Lightning,Jump Rope Intervals,Bodyweight,1,10-15 rounds,Cardio,,
Cardio VO2 Max,The Backyard Blitz,Bodyweight HIIT Circuit,Bodyweight,1,4-6 rounds,Cardio,,
Cardio VO2 Max,The Rowing Rocket,Rowing Intervals,Full Gym,1,8-10 rounds,Cardio,,
Cardio VO2 Max,Kettlebell Cardio Blast,Kettlebell Swing Intervals,Kettlebell,1,10-12 rounds,Cardio,,
